;Site;Auteur;dateComm;dateSejour;Localisation;Note;Titre;Avis
670;Disney Newport Bay Club;Audreyeden;janvier 2020;septembre 2016;Saint-Pol-sur-Ternoise France;4;Super hôtel;Hôtel très joli extérieurement et intérieurement, piscine, salle de fitness à disposition. La chambre était très bien et très propre tout comme la salle de bain. Le seul hic, c'est que la chambre dispose bien d'un lit parapluie pour bébé mais pas de matelas, nous avons dû mettre des cousins en guise de matelas et cela n'a pas convenu à notre bébé qui a dû dormir avec moi dans un grand lit, du coup je n'ai pas bien dormi de peur que ma fille tombe du lit. Nous avons réservé au restaurant Cap Code, et malgré la réservation nous avons dû faire la queue et attendre, je n'ai pas trouvé ça normal. Nous avons cependant passé un bon séjour.
671;Disney Newport Bay Club;BabeEtNams;janvier 2020;septembre 2016;Paris France;5;Super hôtel ;L’hôtel est génial. Le personnel très agréable et très professionnel. Les chambres propres. Belle vue sur le lac. Très facile d’accès avec un grand parking. 10 minutes à pied du parc. Et 5 mins de Disney village. Je recommande et nous reviendrons. Merci encore c’était super 
672;Disney Newport Bay Club;Sylvain18;janvier 2020;septembre 2016;;2;Standard;Ayant réservé pour 3.  Nous nous sommes retrouvés avec des 2lits de 140cm.  Apres cet etonnement, nous sommes allé au compasse club du newport bay. Nous avons demandés un lit d’appoint pour avoir 3 lits bien distincts. Impossible nous a repondu Marvin.  Nous avons demandé alors eventuellement une autre chambre avec des lits 160 car cela nous semblait des lits pour 1personne(140).  Impossible d’apres lui. Étonnement de notre part : « le standard est bien trop petits pour avoir 3personnes dans une chambre pour deux, d’autant plus qu’il n’y a que deux serviettes, ce qui signifie bien que c’est une chambre pour deux »  Nous sommes tombé des nu quand ce meme employé nous a pris de haut en nous disant que : « c’est trop petit pour vous monsieur »   Notre reponse tres respectueuse à ce…
673;Disney Newport Bay Club;Julien9475;juillet 2019;septembre 2016;France;5;Toujours aussi Top;Et bien pour cet été, nous avons opté de dormir au Newport Bay Club pour un séjour en famille. Comme à son habitude, Disney respect tous les codes, tant sur le personnel de l'hôtel qui est absolument très accueillant, sympathique et souriant. A peine 5 minutes d'attente pour vérifier nos réservation, en guise d'excuse, le responsable nous a offert un cocktail au Bar de l'hôtel. La décoration est toujours égale à elle-même, surtout que l'hôtel a fait peau neuve. Notre chambre, côté parking mais tout de même très spacieuse et lumineuse. La chambre était très propre et la salle de bain suffisamment grande. Le seul petit bémol, c'est le manque d'un minibar dans la chambre. Nous avons également passé un petit moment de détente à la piscine, juste au top, tant à l'intérieur qu'à…
674;Disney Newport Bay Club;Tamara G;janvier 2020;septembre 2016;Vise Belgique;4;Très bien;Hôtel très beau sur le thème marin. Il est vraiment très grand et les couloirs ressemble à des labirynthe. Le personnel est très agréable.  La chambre en elle-même est bien,la salle de bain fonctionnelle.  Rien à redire concernant la propreté des lieux.
675;Disney Newport Bay Club;hugoines;janvier 2020;septembre 2016;;5;Séjour à l'hôtel Newport;Nous avons été ravis de l'hôtel c'est prestations la chambre était super propre piscine nickel le personnel au top concernant le parc extrêmement déçu car beaucoup de manège fermé nous sommes restés 4 jours et trois jours où Space montagne était fermé très déçu 
676;Disney Newport Bay Club;Gastfamily;janvier 2020;septembre 2016;;5;Genialissime;Maman solo avec 3 enfants ! Nous avons passé un excellent séjour en compass club . Équipe extrêmement adorable à l'écoute et extrêmement professionnel et serviable. Accé a la piscine jusqu'à 22h mes enfants étaient ravis.  Petit déjeuné au top je crois que je n'ai jamais vu ma fille manger autant au petit dej .  Les équipes ont toujours un petit mot gentil ou une petite attention ce qui est vraiment très agréable. Au final nous avions boisson à volonté au compass club de 7h à 22h , mais dans les machines qui se trouve dans les étages h24 . La chambre était très bien et propre avec le petit frigo sous le lavabo . Je n'imagine pas revenir à disney sans reprendre une chambre dans cet hôtel.  Grâce à vous j'ai réellement profité de ce séjour sans stress (ce qui n'est pas gagné avec…
677;Disney Newport Bay Club;MlleChoAnais;janvier 2020;septembre 2016;Colmar France;3;Rapport qualité prix pas très avantageux ;L'hôtel est très bien placé car à 5mn à pied du Disney Village et donc à peine 10mn des parcs. Accueil sympathique et personnel aimable. À notre arrivée vers 12h notre chambre était déjà prête. Après avoir traversé le labyrinthe pour la rejoindre (1 seul ascenseur par étage) nous découvrons une chambre côté route et communiquante via 1 porte avec celle d'à côté. Certes il s'agissait d'une réservation via Veepee il est donc logique d'attribuer les plus belles chambres aux clients qui payent plein tarif via le site Disney. Mais l'hôtel étant visiblement loin d'afficher complet pourquoi attribuer à un couple une chambre communiquante avec celle d'une famille avec enfants... Dès 7h du matin nous avons été réveillés par les cris et ça a duré une bonne heure, soit jusqu'à leurs…
678;Disney Newport Bay Club;Lisa K.;janvier 2020;septembre 2016;Genève Suisse;3;Bien mais peut faire mieux;Nous sommes arrivés très tôt donc pas de queue pour le check-in, nous avons pu laisser nos bagages en toute simplicité, le personnel était agréable et nous avons été surpris d'avoir les fast-pass. Nous avons ajouté une nuit supplémentaire sans problème. La chambre était quant à elle un peu vieillotte, je pense que la rénovation ne c'est pas forcément fait dans les ailes de l'hôtel. Les toilettes étaient sales, (notifié et nettoyé par le personnel), déçue de la piscine et du vestiaire. La piscine extérieure n'était pas ouverte quel domage et l'eau de celle intérieur était froide. Il y avait des enfants de moins de 10 ans dans le jacuzzi ce que je ne trouve pas normal, les sauveteurs n'avaient pas l'air de prêter une forte attention à ceci. Les vestiaires étaient sales, les gens…
679;Disney Newport Bay Club;MelodieDubuisson;decembre 2019;septembre 2016;Sainte-Foy-la-Grande France;2;Le prix de la chambre trop élevé vis-à-vis de la qualité ;Une belle déception, nous avons voulu nous faire plaisir en prenant ce qui devait être une bonne chambre (vu le prix et la présentation faite sur le site). Le rêve s'arrête une fois passé la porte de la chambre. Simple, vieillotte, mal équipée (une poubelle seulement dans la salle de bain, pas de placard, les prises de courant uniquement présentes à un seul endroit dans la chambre). La literie est à revoir car plus au goût du jour et sur notre bon de réservation il n'était pas inscrit les lits en 140. Isolation sonore à revoir aussi, le pommeau de la baignoire rempli de calcaire et sale est à changer... Bref nettement pas à la hauteur de nos attentes compte tenu du prix. Point positif de l'hôtel sa beauté extérieur et son emplacement vis-à-vis du parc. 
680;Disney Newport Bay Club;aubertvanessa1;janvier 2020;septembre 2016;Charleroi Belgique;5;chambre familiale;Un hôtel accueillant, qui a répondu à nos attentes et nos exigences. Un service à l'écoute et prêt à intervenir au moindre problème...  Nous renouvellerons l'expérience chez eux sans aucune crainte...  nous sommes ravis de notre séjour.
681;Disney Newport Bay Club;Maximax60;janvier 2020;septembre 2016;Ville de Chantilly France;5;Compass Club au top;Nous avons séjourné un samedi dimanche pour une nuit. Chambre réservée en Compass Club, à l’arrivée un voiturier récupère votre voiture et vos valises. Direction la réception privée, pas de queue, en 15min les pass Magic Plus avec les entrées aux parcs et les demi pensions dessus sont récupérés et bonne nouvelle nous sommes surclassés en suite ! Direction le parc pour profiter de la journée, à 15h nous avons la chambre où les valises nous attendent ... sauf une ! Retrouvée 10min après mon appel à la conciergerie, ouf ! 16h direction le goûter privée dans le compass lounge ! Large choix sur le buffet salé/sucré. Ambiance tamisée qui fait du bien pour une petite pause ! Piscine non accessible car quelqu’un a fait c... dedans ! Dommage ! Lol petit déjeuner au top aussi dans le…
682;Disney Newport Bay Club;Noé;janvier 2020;septembre 2016;;4;Séjour anniversaire ;Nous avions réservés ( avec les pass disney ) pour l'anniversaire de notre fils qui avait été précisé.  A l'accueil,  dame gentille,  qui nous donne une enveloppe avec carte d'anniversaire iron man,  4 pièces en chocolats et 3 ballons à gonfler.  Le geste est sympa, mais ça aurait été plus magique que ce soit mis directement  dans la chambre. Nous étions déjà content du geste , même si on espère toujours un peu plus.. pas eu de badge anniversaire,  on m'a dit, on le fait plus. Mais d'autres enfants dans le parc avait ...dommage.  La chambre très bien, propre, et lit confortable . Nous avions pris le repas du soir et petit déjeuner,  très bien. La piscine est pas mal, en tout cas plus chaude que dans un autre disney. 
683;Disney Newport Bay Club;Magali G;janvier 2020;septembre 2016;Lyon France;2;Prenez un airbnb;Premier et dernier sejour dans un hotel disney deja on arrive a 9h30 a l hotel on a du attendre 1h30 pour avoir les pass pour rentrer dans le parc tellement qu il y avait du monde et pourtant on était en basse saison, du coup petit coup de gueule etant donné qu on avait pris les fastpass pour le premier jour... pour les repas c est pareil on réserve mais faut quand même patienter 20 bonnes minutes pour pouvoir avoir une table, pareil pour le petit déjeuner et on nous répond mais vous savez combien il y a de personne alors pour votre réponse on a fait beaucoup d hotel ou de club où il y a quand même plus de monde et on attendait pas... la literie est top par contre! Enfin bref on retiens de notre sejour que la prochaine fois on louera un airbnb a chessy au moins on a attendra…
684;Disney Newport Bay Club;Manon Meherzi;janvier 2020;septembre 2016;Paris France;1;Extrêmement déçus ...;Nous avons passé la nuit du 6 au 7 Janvier 2020 dans cet hôtel 4 étoiles.  Lors de la réservation par téléphone j’avais demandé un lit bébé. Lors de notre checkin après avoir passé toute la journée dans le parc, aucun lit bébé dans notre chambre. Mon mari a appelé le service housekeeping, qui lui répond de regarder sous le placard ... ! Bien sûr il n’y a rien, on demande donc qu’on nous en mette un. Au bout d’un quart d’heure toujours rien. Mon mari relance. Nous en avons eu un au bout de 30 min ...  Le lendemain matin, nous descendons au petit déjeuner aux alentours de 8h. Nous devons d’abord faire la queue, et passer par une caisse : nous sommes étonnés étant donné que nous avions déjà tout réglé à l’avance (la chambre et le pdj). Mais nous patientons tout de même. Au moment…
685;Disney Newport Bay Club;tripfood93;janvier 2020;septembre 2016;Lagny-sur-Marne France;3;Belle hotel mais...;Tres belle hotel, personnel assez serviable.... cependant pour un 4 etoiles l'etat de l'hotel est assez mauvait quand il s'agit des partie communes. La reception, l'exterieur sont dans un etat correct.
686;Disney Newport Bay Club;Justin G;janvier 2020;septembre 2016;Lille France;5;Compass Club, une Merveille;"Déjà, venu au Compass Club par le passé (dernière fois, il y 1 an), je tiens à souligner qu'il y a une nette amélioration. Accueil au Top :  personnel attentionné (que ce soit à la réception ou au Lounge), très réactif et très professionnel. Puis surtout, quel amélioration pour le petit déjeuner !!! Du vrai miel, à ""récolter"" soi-même, du vrai et bon jus d'orange frais, ... Bravo à toute l'équipe !!!"
687;Disney Newport Bay Club;anngefa;janvier 2020;septembre 2016;Reims France;5;La magie disney;Bonne literie. Hôtel très grand, ce qui peut impressionner au début mais Le personnel est efficace et organisé. Un petit déjeuner délicieux avec un très grand choix de salés et sucrés. Bien situé. Un bon moment
